"time","close","high","low","open","volumefrom","volumeto"
"2017-07-31",439.27,488.8,218.39,421,4070.04,1364069.69
"2017-08-01",551.59,974.71,362.02,439.27,81509.81,44939867.63
"2017-08-02",405.92,635.73,381.08,551.59,92856.1,39430900.09
"2017-08-03",253.13,414.38,252.57,405.92,133487.37,39012988.12
"2017-08-04",220.3,294.84,206.64,253.13,116728.92,26697590.83
"2017-08-05",241.87,241.87,210.13,220.3,92025.16,19175891.13
"2017-08-06",322.6,411.56,239.47,241.87,305369.81,89374025.1
"2017-08-07",343.43,388.34,310.51,322.6,189918.52,65405748.92
"2017-08-08",301.17,349.93,289.74,343.43,98243.16,31524578.59
"2017-08-09",274.48,312.53,268.44,301.17,90794.01,26331114.65
"2017-08-10",326.26,352.53,271.46,274.48,115445.06,37100135.8
"2017-08-11",316,344.59,311.04,326.26,41121.01,13359671.69
"2017-08-12",295.15,317.69,293.93,316,44494.54,13655828.8
"2017-08-13",300.03,329.77,291.25,295.15,62398.26,19118045.5
"2017-08-14",297.36,307.42,290.02,300.03,38751.32,11537495.55
"2017-08-15",299.68,309.36,285.48,297.36,35034.62,10407736.35
"2017-08-16",445.19,449.75,292.4,299.68,190744.55,72997662.11
"2017-08-17",689.83,777.54,437.81,445.19,599573.95,350422575.89
"2017-08-18",738.54,965.48,604.03,689.83,488212.73,382644710.5
"2017-08-19",719.27,849.16,677.96,738.54,231694.52,176097781.09
"2017-08-20",605.22,749.65,557.92,719.27,216266.02,137835348.17
"2017-08-21",684.6,734.16,566.86,605.22,190941.81,127212595.92
"2017-08-22",674.08,710.85,651.32,684.6,66100.43,44395029.53
"2017-08-23",619.83,701.11,601.6,674.08,74455.2,47944401.5
"2017-08-24",632.48,664.74,615.09,619.83,50996.06,32464569.83
"2017-08-25",621.43,638.56,612.25,632.48,29106.51,18170375.11
"2017-08-26",616.29,651.88,581.68,621.43,66741.61,40956416.01
"2017-08-27",591.11,626.64,581.81,616.29,31720.36,19001371.41
"2017-08-28",544.74,596.56,524.32,591.11,77738,43470346.16
"2017-08-29",580.34,613.18,529.64,544.74,83886.18,47761724.91
"2017-08-30",592.59,609.23,570.5,580.34,47178.07,27937832.9
"2017-08-31",628.73,653.56,586.63,592.59,60745.39,37807706.16
"2017-09-01",572.65,645.8,560.98,628.73,62092.22,36984224.54
"2017-09-02",609.85,622.73,559.22,572.65,46203.88,27470981.39
"2017-09-03",519.3,611.5,496.84,609.85,72956.35,39354607.68
"2017-09-04",546.74,560.22,472.51,519.3,58083.51,30106018.14
"2017-09-05",647.64,657.3,539.13,546.74,88989.8,54825116.2
"2017-09-06",667.56,718.92,604.32,647.64,105468.99,70423045.63
"2017-09-07",605.66,698.49,573.09,667.56,104688.46,65565655.08
"2017-09-08",586.24,610.28,565.57,605.66,41215.06,24260056.8
"2017-09-09",556.9,586.81,524.98,586.24,49721.21,27588948.77
"2017-09-10",556.02,590.17,550.1,556.9,35006.3,19801627.19
"2017-09-11",536.96,577.62,530.07,556.02,39799.94,22082978.96
"2017-09-12",506.49,538.98,471.08,536.96,70909.36,35647701.89
"2017-09-13",386.49,515.58,385.45,506.49,98635.73,43447407.4
"2017-09-14",428.88,454.21,301.55,386.49,209392.62,81380795.6
"2017-09-15",443.21,470.7,411.53,428.88,80026.4,35057627.63
"2017-09-16",439.07,450.88,407.81,443.21,38498.31,16667495.97
"2017-09-17",486.03,492.49,438.38,439.07,70189.85,33211175.33
"2017-09-18",530.6,548.13,454.77,486.03,99852.71,50064941.67
"2017-09-19",477.25,530.64,475.32,530.6,98868.91,49416655.67
"2017-09-20",416.13,484.72,413.8,477.25,76159.01,34350076.54
"2017-09-21",409.63,434.17,395.09,416.13,65044.59,26731878.33
"2017-09-22",430.31,436.14,403.33,409.63,36856.66,15542354.15
"2017-09-23",421.19,434.34,416.62,430.31,33943.57,14388923.18
"2017-09-24",450.85,458.18,420.14,421.19,53204.05,23480486.36
"2017-09-25",449.56,463.55,448.95,450.85,32491.91,14765728.97
"2017-09-26",464.14,468.64,439.9,449.56,66193.41,30195113.53
"2017-09-27",458.15,481.59,442.15,464.14,74325.45,34380897.03
"2017-09-28",440.55,459.63,430.44,458.15,48262.99,21350204.92
"2017-09-29",435.95,454.85,433.77,440.55,54455.28,24220359.29
"2017-09-30",418.05,440.56,417.1,435.95,56383.01,24068045.14
