"time","close","high","low","open","volumefrom","volumeto"
"2014-02-07",0.07,0.07,0.05,0.05,427.45,29.37
"2014-02-08",0.1,0.1,0.07,0.07,9.1,0.9101
"2014-02-09",0.1,0.1,0.1,0.1,0,0
"2014-02-10",0.1,0.1,0.1,0.1,0,0
"2014-02-11",0.1,0.1,0.1,0.1,0,0
"2014-02-12",0.25,0.25,0.1,0.1,200,50
"2014-02-13",0.25,0.25,0.25,0.25,0,0
"2014-02-14",0.25,0.25,0.25,0.25,0,0
"2014-02-15",0.32,0.33,0.25,0.25,7.1,2.3
"2014-02-16",100,100,0.099,0.32,5.14,1.02
"2014-02-17",100,100,100,100,0,0
"2014-02-18",0.9,100,0.9,100,0.76,0.69
"2014-02-19",1.2,2,0.9,0.9,23.25,33.76
"2014-02-20",1.25,1.3,1.08,1.2,12.45,14.16
"2014-02-21",0.103,1.25,0.103,1.25,43.45,7.73
"2014-02-22",1,1.26,0.103,0.103,32.21,37.9
"2014-02-23",1.3,1.3,1,1,2.34,3.05
"2014-02-24",0.8,1.3,0.8,1.3,63.21,50.57
"2014-02-25",1.5,1.5,0.03,0.8,1.4,1.95
"2014-02-26",1.5,1.5,1.5,1.5,0,0
"2014-02-27",1.5,1.5,1.5,1.5,0,0
"2014-02-28",1.5,1.5,1.5,1.5,0,0
"2014-03-01",0.9,1.5,0.8,1.5,21.49,18.87
"2014-03-02",0.9,1,0.89,0.9,8.93,8.19
"2014-03-03",0.8,0.9,0.8,0.9,6.2,5.29
"2014-03-04",0.8,0.8,0.8,0.8,0,0
"2014-03-05",0.8,0.8,0.8,0.8,0,0
"2014-03-06",0.8,0.8,0.8,0.8,0,0
"2014-03-07",0.8,0.8,0.8,0.8,0,0
"2014-03-08",0.8,0.8,0.8,0.8,0,0
"2014-03-09",0.8,0.8,0.8,0.8,0,0
"2014-03-10",0.8,0.8,0.8,0.8,0,0
"2014-03-11",0.8,0.8,0.8,0.8,0,0
"2014-03-12",0.79,1,0.79,0.8,10.59,8.58
"2014-03-13",0.79,0.79,0.79,0.79,0,0
"2014-03-14",0.79,0.79,0.79,0.79,0,0
"2014-03-15",0.79,0.79,0.79,0.79,0.5053,0.3992
"2014-03-16",0.79,0.79,0.79,0.79,0.001,0.00079
"2014-03-17",0.79,0.79,0.79,0.79,0,0
"2014-03-18",0.79,0.79,0.79,0.79,0,0
"2014-03-19",0.79,0.79,0.79,0.79,0,0
"2014-03-20",0.79,0.79,0.79,0.79,0,0
"2014-03-21",0.79,0.79,0.79,0.79,0,0
"2014-03-22",0.7,0.79,0.7,0.79,1.91,1.34
"2014-03-23",0.78,0.78,0.7,0.7,5.78,4.43
"2014-03-24",0.78,0.78,0.78,0.78,2.22,1.73
"2014-03-25",0.78,0.78,0.78,0.78,0,0
"2014-03-26",0.78,0.78,0.78,0.78,0,0
"2014-03-27",0.78,0.78,0.78,0.78,0,0
"2014-03-28",0.7,0.78,0.7,0.78,0.0114,0.007977
"2014-03-29",0.7,0.7,0.7,0.7,0,0
"2014-03-30",0.7,0.7,0.7,0.7,0,0
"2014-03-31",0.7,0.7,0.7,0.7,0,0
"2014-04-01",0.7,0.7,0.7,0.7,0,0
"2014-04-02",0.7,0.7,0.7,0.7,0,0
"2014-04-03",0.7,0.7,0.7,0.7,0,0
"2014-04-04",0.7,0.7,0.7,0.7,0,0
"2014-04-05",0.7,0.7,0.7,0.7,0,0
"2014-04-06",0.7,0.7,0.7,0.7,0,0
"2014-04-07",0.7,0.7,0.7,0.7,0,0
"2014-04-08",0.7,0.7,0.7,0.7,0,0
"2014-04-09",0.7,0.7,0.7,0.7,0,0
"2014-04-10",0.56,0.7,0.56,0.7,4,2.24
"2014-04-11",0.56,0.56,0.56,0.56,0,0
"2014-04-12",0.56,0.56,0.56,0.56,0,0
"2014-04-13",0.58,0.58,0.56,0.56,0.000998,0.0005788
"2014-04-14",0.011,0.6,0.011,0.58,15.48,8.78
"2014-04-15",0.011,0.011,0.011,0.011,0,0
"2014-04-16",0.65,0.65,0.011,0.011,1,0.65
"2014-04-17",0.65,0.65,0.65,0.65,0,0
"2014-04-18",0.7,0.74,0.65,0.65,1.09,0.7669
"2014-04-19",0.7,0.7,0.7,0.7,0,0
"2014-04-20",0.7,0.7,0.7,0.7,0,0
"2014-04-21",0.7,0.7,0.7,0.7,0,0
"2014-04-22",0.8,0.801,0.7,0.7,481.06,384.61
"2014-04-23",0.9,0.9,0.78,0.8,26.87,23.74
"2014-04-24",1.2,1.72,0.9,0.9,44.12,66.61
"2014-04-25",2,2.5,1.2,1.2,65.85,130.61
"2014-04-26",2,2,1.7,2,25.11,47.82
"2014-04-27",2,2,2,2,0,0
"2014-04-28",1.45,2,1.45,2,25.5,39.42
"2014-04-29",1.5,1.5,1.45,1.45,0.5207,0.781
"2014-04-30",1.5,1.5,1.5,1.5,0,0
"2014-05-01",1.4,1.5,1.4,1.5,1.13,1.58
"2014-05-02",1.4,1.4,1.4,1.4,0,0
"2014-05-03",1.52,1.65,1.4,1.4,6.5,10.03
"2014-05-04",1.6,1.68,1.52,1.52,4.57,7.4
"2014-05-05",1.6,1.6,1.55,1.6,4.5,7.15
"2014-05-06",1.64,1.66,1.6,1.6,4.84,7.98
"2014-05-07",1.64,1.64,1.64,1.64,0,0
"2014-05-08",2.25,2.25,1.64,1.64,13.06,25.3
"2014-05-09",2.25,2.25,2.25,2.25,0.8906,2
"2014-05-10",2.35,2.35,2.2,2.25,0.165,0.3653
"2014-05-11",2.35,2.35,2,2.35,0.00309,0.006456
"2014-05-12",2.35,2.35,2,2.35,432.01,1015.21
"2014-05-13",3.1,3.5,2.35,2.35,320.38,873.77
"2014-05-14",6,7.5,3.1,3.1,255.8,838.07
"2014-05-15",6,6,6,6,0.000313,0.001878
"2014-05-16",5,6,5,6,3,15.8
"2014-05-17",6,6,5,5,40,240
"2014-05-18",6,6,5.7,6,61.1,366.47
"2014-05-19",7,7,6,6,4.69,31.44
"2014-05-20",7.5,7.5,6.65,7,5.77,43.02
"2014-05-21",18,18,7.5,7.5,0.002658,0.04785
"2014-05-22",18,18,7,18,0.04196,0.4385
"2014-05-23",18,18,17,18,0.8247,14.54
"2014-05-24",16,18,16,18,0.0002818,0.004509
"2014-05-25",16,16,12,16,357.62,5492.94
"2014-05-26",15.99,16,10,16,4.35,43.48
"2014-05-27",8.1,15.99,8.1,15.99,3.02,24.48
"2014-05-28",8.1,8.1,8.1,8.1,27.27,220.92
"2014-05-29",13,13,8.1,8.1,0.6061,7.88
"2014-05-30",13,15,13,13,25.77,334.95
"2014-05-31",11,13,11,13,12.41,160.47
"2014-06-01",15.5,15.5,11,11,0.3466,4.98
"2014-06-02",15.49,15.5,15.4,15.5,1.05,16.23
"2014-06-03",15.49,15.49,12,15.49,2.15,29.25
"2014-06-04",12,15.49,12,15.49,2.19,26.62
"2014-06-05",12,12,12,12,19.22,230.68
"2014-06-06",12,12,12,12,17.7,212.36
"2014-06-07",5,12,5,12,2.46,22.41
"2014-06-08",5,5,5,5,0,0
"2014-06-09",5,5,5,5,0,0
"2014-06-10",5,5,5,5,0,0
"2014-06-11",15,15,5,5,2.09,31.41
"2014-06-12",15,15,15,15,0,0
"2014-06-13",15,15,15,15,0,0
"2014-06-14",12,15,12,15,0.07773,0.9328
"2014-06-15",9.1,12,9.1,12,1,9.1
"2014-06-16",9.1,9.1,9.1,9.1,0,0
"2014-06-17",9.1,9.1,9.1,9.1,0,0
"2014-06-18",9.1,9.1,9.1,9.1,0,0
"2014-06-19",15,15,9.1,9.1,0.1933,2.9
"2014-06-20",12,15,12,15,5,60
"2014-06-21",14.99,14.99,5,12,0.2176,2.17
"2014-06-22",14.99,14.99,14.99,14.99,0,0
"2014-06-23",14.99,14.99,14.99,14.99,0,0
"2014-06-24",14.99,14.99,14.99,14.99,0,0
"2014-06-25",14.99,14.99,14.99,14.99,0,0
"2014-06-26",8.5,14.99,8.5,14.99,0.3,2.55
"2014-06-27",8.5,8.5,8.5,8.5,0,0
"2014-06-28",8.5,8.5,8.5,8.5,0,0
"2014-06-29",8.5,8.5,8.5,8.5,0,0
"2014-06-30",8.5,8.5,8.5,8.5,0,0
"2014-07-01",8.5,8.5,8.5,8.5,0,0
"2014-07-02",8.5,8.5,8.5,8.5,0,0
"2014-07-03",8.5,8.5,8.5,8.5,0,0
"2014-07-04",8.5,8.5,8.5,8.5,0,0
"2014-07-05",10,10,8,8.5,10.56,96.5
"2014-07-06",6.1,10,6.1,10,0.997,6.08
"2014-07-07",6.1,6.1,6.1,6.1,0,0
"2014-07-08",6.1,6.1,6.1,6.1,0,0
"2014-07-09",6.1,6.1,6.1,6.1,0,0
"2014-07-10",6.1,6.1,6.1,6.1,0,0
"2014-07-11",6.1,6.1,6.1,6.1,0,0
"2014-07-12",6.1,6.1,6.1,6.1,0,0
"2014-07-13",6.1,6.1,6.1,6.1,0,0
"2014-07-14",6.1,6.1,6.1,6.1,0,0
"2014-07-15",6.1,6.1,6.1,6.1,0,0
"2014-07-16",6.1,6.1,6.1,6.1,0,0
