"time","close","high","low","open","volumefrom","volumeto"
"2015-08-06",3,3,0.6747,0.6747,123.93,371.79
"2015-08-07",1.2,3,0.15,3,2119.43,1438.16
"2015-08-08",1.2,1.2,1.2,1.2,0,0
"2015-08-09",1.2,1.2,1.2,1.2,0,0
"2015-08-10",0.99,1.2,0.6504,1.2,9486.09,7419.73
"2015-08-11",1.29,1.29,0.905,0.99,2140.46,2376.28
"2015-08-12",1.88,1.88,1.26,1.29,3163.29,4923.22
"2015-08-13",1.79,2.1,1.79,1.88,5800.73,11070.41
"2015-08-14",1.79,1.79,1.5,1.79,8711.24,14812.75
"2015-08-15",1.37,1.79,0.5,1.79,9714.19,10794.95
"2015-08-16",1.3,1.59,1.25,1.37,4325.42,6063.99
"2015-08-17",1.36,1.36,1.15,1.3,2390.72,2867.74
"2015-08-18",1.24,1.36,0.99,1.36,4131.9,4769.3
"2015-08-19",1.52,1.52,1.24,1.24,1273,1771.6
"2015-08-20",1.44,1.53,1.44,1.52,6310.99,9197.39
"2015-08-21",1.4,1.44,1.4,1.44,229.59,321.76
"2015-08-22",1.35,1.4,1.31,1.4,323.11,438.75
"2015-08-23",1.24,1.35,1.24,1.35,5117.98,6460.83
"2015-08-24",1.27,1.28,1.22,1.24,938.92,1188.35
"2015-08-25",1.18,1.27,1.08,1.27,2043.44,2337.47
"2015-08-26",1.14,1.19,1.14,1.18,230.3,269.07
"2015-08-27",1.3,1.3,1.14,1.14,20767.1,26922.13
"2015-08-28",1.18,1.3,1.15,1.3,329.64,383.37
"2015-08-29",1.32,1.35,1.17,1.18,8505.13,10975.8
"2015-08-30",1.31,1.32,0.9,1.32,3258.74,3959.42
"2015-08-31",1.36,1.38,1.31,1.31,894.21,1220.61
"2015-09-01",1.14,1.37,1.14,1.36,519.87,698.71
"2015-09-02",1.23,1.33,1.14,1.14,2872.93,3717.92
"2015-09-03",1.35,1.4,1.28,1.28,15.39,18.76
"2015-09-04",1.37,1.37,1.23,1.23,7881.76,10437.44
"2015-09-05",1.34,1.39,1.34,1.37,111.78,145.64
"2015-09-06",1.28,1.34,1.28,1.34,393.9,526.2
"2015-09-07",1.26,1.28,1.26,1.28,82.23,103.93
"2015-09-08",1.21,1.26,1.21,1.26,21.42,27.57
"2015-09-09",1.19,1.21,1.12,1.21,2866.95,3361.62
"2015-09-10",0.9242,1.19,0.9242,1.19,2877.26,3066.25
"2015-09-11",1.15,1.15,0.9242,0.9242,509.27,513.1
"2015-09-12",0.8856,1.15,0.8837,1.15,3917.32,3817.24
"2015-09-13",0.955,0.9622,0.885,0.8856,870.32,805.59
"2015-09-14",0.95,1,0.804,0.955,2558.87,2273.61
"2015-09-15",0.9363,0.9563,0.9363,0.95,49.44,47.63
"2015-09-16",0.875,0.9363,0.8238,0.9363,151.36,129.7
"2015-09-17",0.8523,0.88,0.8523,0.875,684.62,593.31
"2015-09-18",0.89,0.89,0.8013,0.8523,4.32,3.59
"2015-09-19",0.8871,0.89,0.88,0.89,13.92,12.33
"2015-09-20",0.9412,0.95,0.8871,0.8871,179.51,171.52
"2015-09-21",0.8059,0.9412,0.8059,0.9412,199.71,175.81
"2015-09-22",0.91,0.91,0.8059,0.8059,14.71,13.25
"2015-09-23",0.8,0.91,0.8,0.91,690.58,568.89
"2015-09-24",0.6823,0.8,0.6823,0.8,2933,2184.33
"2015-09-25",0.7703,0.7703,0.6805,0.6823,79.54,58.79
"2015-09-26",0.7008,0.7703,0.7007,0.7703,14.55,10.93
"2015-09-27",0.6,0.7047,0.6,0.7008,5565.17,3491.1
"2015-09-28",0.6816,0.6816,0.5,0.6,20404.67,11590.73
"2015-09-29",0.7137,0.74,0.5046,0.6816,736.83,529.45
"2015-09-30",0.6548,0.7137,0.6545,0.7137,654.4,457.44
"2015-10-01",0.6647,0.666,0.6548,0.6548,400.99,266.64
"2015-10-02",0.6796,0.6796,0.6647,0.6647,51.02,34.43
"2015-10-03",0.6095,0.6747,0.6095,0.6796,791.61,533.8
"2015-10-04",0.6078,0.6095,0.6078,0.6095,55.74,35.41
"2015-10-05",0.6511,0.6511,0.6091,0.6078,24.17,15.52
"2015-10-06",0.6,0.611,0.6,0.6511,2025.65,1236.98
"2015-10-07",0.62,0.64,0.6,0.6,5755.79,3673.39
"2015-10-08",0.6352,0.6352,0.5701,0.62,2199.18,1298.61
"2015-10-09",0.6351,0.75,0.6351,0.75,0,0
"2015-10-10",0.5993,0.5993,0.5993,0.6352,14.4,8.63
"2015-10-11",0.63,0.639,0.63,0.5993,21.12,13.34
"2015-10-12",0.6017,0.65,0.6016,0.63,767.84,471.4
"2015-10-13",0.5,0.6017,0.5,0.6017,2761.81,1538.06
"2015-10-14",0.56,0.56,0.4832,0.5,256.3,128.6
"2015-10-15",0.525,0.5622,0.525,0.56,399.96,210.97
"2015-10-16",0.523,0.54,0.52,0.525,1591.58,855.31
"2015-10-17",0.505,0.52,0.505,0.523,1039.88,534.99
"2015-10-18",0.5,0.505,0.4821,0.505,1562.1,780.79
"2015-10-19",0.44,0.4805,0.44,0.5,1480.51,682.42
"2015-10-20",0.42,0.4719,0.42,0.44,1627.75,707.15
"2015-10-21",0.609,0.609,0.411,0.42,3339.9,1759.69
"2015-10-22",0.5649,0.609,0.5,0.609,3807.21,2166.11
"2015-10-23",0.5561,0.5561,0.51,0.5649,296.28,156.31
"2015-10-24",0.62,0.67,0.5875,0.5561,1436,902.43
"2015-10-25",0.706,0.706,0.62,0.62,1777.47,1190.13
"2015-10-26",0.83,0.901,0.7012,0.706,2123.87,1738.7
"2015-10-27",0.99,1.01,0.82,0.83,4983.13,4611.9
"2015-10-28",1.12,1.2,0.9717,0.99,4424.45,4937.61
"2015-10-29",1.14,1.34,1.12,1.12,3523.16,4346.06
"2015-10-30",0.8676,1.14,0.8676,1.14,822.97,804.5
"2015-10-31",0.99,0.99,0.8676,0.8676,186.43,176.28
"2015-11-01",0.9878,1.06,0.9753,0.99,7199.5,7192.3
"2015-11-02",1.06,1.06,0.8425,0.9878,6169.75,6124.85
"2015-11-03",0.799,1.06,0.7987,1.06,5884.47,5189.9
"2015-11-04",0.8764,1,0.799,0.799,1214.52,1078.04
"2015-11-05",0.9899,0.9899,0.79,0.8764,3228.49,3121.82
"2015-11-06",0.93,0.93,0.8647,0.9899,1347.58,1195.35
"2015-11-07",1,1,0.8945,0.93,3145.98,3067.91
"2015-11-08",0.998,1.08,0.89,1,8592.57,8903.45
"2015-11-09",0.9,1,0.9,0.998,7729.17,7531.93
"2015-11-10",0.75,0.94,0.73,0.9,11933.21,9539.72
"2015-11-11",0.88,0.9,0.75,0.75,2346.43,2032.79
"2015-11-12",0.9,0.9,0.8395,0.88,1866.15,1625.35
"2015-11-13",0.88,0.91,0.8736,0.9,524.56,469.05
"2015-11-14",0.9193,0.9193,0.8746,0.88,857.27,770.24
"2015-11-15",0.925,0.925,0.6612,0.9193,3010,2699.37
"2015-11-16",1,1,0.9224,0.925,9307.01,9189.91
"2015-11-17",0.9973,1,0.95,1,3368.62,3299.12
"2015-11-18",0.94,1,0.92,0.9973,1252.29,1221.53
"2015-11-19",0.92,0.94,0.91,0.94,165.69,154.39
"2015-11-20",0.96,0.96,0.92,0.92,390.35,378
"2015-11-21",0.97,0.97,0.8827,0.96,241.87,236.45
"2015-11-22",0.92,0.92,0.92,0.97,818.33,775.88
"2015-11-23",0.91,0.95,0.91,0.92,591.67,544.62
"2015-11-24",0.87,0.9126,0.8674,0.91,3152.27,2775.34
"2015-11-25",0.86,0.91,0.8155,0.87,5503.36,4777.98
"2015-11-26",0.88,0.89,0.88,0.86,808.67,719.18
"2015-11-27",0.91,0.91,0.88,0.88,1066.31,968.33
"2015-11-28",0.87,0.91,0.85,0.91,2708.13,2380.31
"2015-11-29",0.88,0.88,0.8674,0.87,451.72,394.73
"2015-11-30",0.87,0.8885,0.8423,0.88,2868.99,2502.08
"2015-12-01",0.82,0.87,0.8,0.87,3975.37,3243.49
"2015-12-02",0.83,0.83,0.7979,0.82,1120.65,905.48
"2015-12-03",0.84,0.84,0.8246,0.83,641.7,527.97
"2015-12-04",0.8699,0.8699,0.8351,0.84,925.93,785.96
"2015-12-05",0.825,0.87,0.825,0.8699,895.02,765.93
"2015-12-06",0.79,0.825,0.7829,0.825,1633.24,1325.08
"2015-12-07",0.8102,0.898,0.7796,0.79,6806.09,5379.11
"2015-12-08",0.8051,0.8533,0.761,0.8102,9646.13,7556.91
"2015-12-09",0.8437,0.8683,0.7797,0.8051,7073.4,5897.28
"2015-12-10",0.8998,0.9,0.77,0.8437,7043.09,5965.49
"2015-12-11",0.96,0.96,0.8998,0.8998,5300.39,5089.12
"2015-12-12",0.9199,0.9749,0.8835,0.96,1038.47,980.32
"2015-12-13",0.99,0.99,0.9628,0.9199,4590.34,4533.37
"2015-12-14",1,1,0.96,0.99,8104.04,8124.77
