"time","close","high","low","open","volumefrom","volumeto"
"2017-10-11",87.65,87.8,87.45,87.45,2187.18,191715.05
"2017-10-11",87.71,87.75,87.58,87.65,2075.95,182141.47
"2017-10-11",87.55,87.74,87.41,87.71,2594.98,226923.54
"2017-10-11",87.72,87.95,87.44,87.55,2470.22,216894.26
"2017-10-11",88.22,88.59,87.68,87.72,2801.52,246717.69
"2017-10-12",87.97,88.41,87.63,88.22,3532.16,311090.14
"2017-10-12",88.24,88.24,87.5,87.97,2504.95,219978.84
"2017-10-12",88.25,89.05,87.53,88.24,6644.18,587706.67
"2017-10-12",87.55,88.6,87.48,88.25,3180.85,279857.85
"2017-10-12",87.74,88.08,87.48,87.55,2684.43,235315.84
"2017-10-12",87.56,87.94,87.26,87.33,2761.1,241880.32
"2017-10-12",87.77,87.94,87.29,87.56,2759.64,241644.94
"2017-10-12",87.42,87.96,87.11,87.77,3336.2,292040.55
"2017-10-12",87.96,88.28,87.35,87.42,3102.32,273140.53
"2017-10-12",88.32,88.43,87.96,87.96,4000.58,352996.55
"2017-10-12",88.24,89.01,87.87,88.32,6177.89,545770.42
"2017-10-12",87.4,88.4,87.39,88.24,4725.68,414183.23
"2017-10-12",87.35,87.46,86.97,87.4,5322.07,464302.66
"2017-10-12",86.78,87.38,86.52,87.35,4355.52,378106.05
"2017-10-12",86.94,87.31,86.73,86.78,2965.56,257738.44
"2017-10-12",86.71,87.19,86.24,86.94,7541.9,655606.69
"2017-10-12",86.58,86.95,86.55,86.71,2299.52,199386.95
"2017-10-12",86.91,87.08,86.56,86.58,2446.4,212601.25
"2017-10-12",85.76,86.99,85.62,86.91,4186.51,361170.61
"2017-10-12",85.79,86.28,85.55,85.76,3684.1,316807.04
"2017-10-12",85.91,87.7,85.57,85.79,10312.94,888895.11
"2017-10-12",86.04,86.13,85.35,85.91,4013.53,343665.57
"2017-10-12",85.58,87.17,85.4,86.04,5115.64,441532.12
"2017-10-12",87.08,87.16,85.3,85.58,8078.57,695228.59
"2017-10-13",87.65,87.8,86.35,87.08,9478.4,828804.43
"2017-10-13",87.52,88.66,87.31,87.65,7800.15,685505.07
"2017-10-13",87.26,87.8,86.44,87.52,5044.32,439230.58
"2017-10-13",89.68,90.11,87.25,87.26,19272.09,1722492.05
