"time","close","high","low","open","volumefrom","volumeto"
"2015-01-20",0.01523,0.0175,0.01523,0.01748,0,0
"2015-01-21",0.01602,0.0175,0.01523,0.01523,0,0
"2015-01-22",0.016,0.017,0.016,0.01602,0,0
"2015-01-23",0.01739,0.01739,0.015,0.016,0,0
"2015-01-24",0.017,0.01739,0.0156,0.01739,0,0
"2015-01-25",0.01469,0.0175,0.01469,0.017,0,0
"2015-01-26",0.0155,0.017,0.01469,0.01469,0,0
"2015-01-27",0.015,0.0167,0.0131,0.0155,0,0
"2015-01-28",0.0135,0.015,0.0131,0.015,0,0
"2015-01-29",0.015,0.015,0.0135,0.0135,1016.47,16.76
"2015-01-30",0.01499,0.015,0.0135,0.015,1217.22,17.63
"2015-01-31",0.01352,0.01499,0.01351,0.01499,100.73,1.43
"2015-02-01",0.01327,0.015,0.01327,0.015,0,0
"2015-02-02",0.0148,0.015,0.01327,0.01327,0,0
"2015-02-03",0.014,0.0148,0.014,0.0148,0,0
"2015-02-04",0.01573,0.01573,0.013,0.014,0,0
"2015-02-05",0.0155,0.01695,0.014,0.01573,339.16,5.24
"2015-02-06",0.01468,0.0155,0.01401,0.0155,216.69,3.26
"2015-02-07",0.01428,0.01506,0.01428,0.01468,0,0
"2015-02-08",0.0135,0.01467,0.0135,0.01428,0,0
"2015-02-09",0.01464,0.01467,0.011,0.0135,0,0
"2015-02-10",0.01462,0.01464,0.011,0.01464,0,0
"2015-02-11",0.0143,0.01463,0.01101,0.01462,0,0
"2015-02-12",0.01445,0.01472,0.01201,0.0143,0,0
"2015-02-13",0.012,0.01508,0.012,0.01445,0,0
"2015-02-14",0.012,0.012,0.012,0.012,0,0
"2015-02-15",0.01508,0.01509,0.012,0.01509,0,0
"2015-02-16",0.01301,0.01508,0.01202,0.01508,0,0
"2015-02-17",0.01499,0.01499,0.01301,0.01301,0,0
"2015-02-18",0.01307,0.01499,0.01307,0.01499,0,0
"2015-02-19",0.01307,0.01498,0.01307,0.01307,0.2934,0.007334
"2015-02-20",0.01307,0.0141,0.01307,0.01307,1.09,0.02721
"2015-02-21",0.01307,0.01403,0.01307,0.01307,0,0
"2015-02-22",0.01403,0.01403,0.01307,0.01307,0,0
"2015-02-23",0.01343,0.01403,0.01307,0.01403,0,0
"2015-02-24",0.014,0.014,0.01307,0.01343,0,0
"2015-02-25",0.013,0.014,0.0116,0.014,40,0.09999
"2015-02-26",0.01206,0.01398,0.0116,0.013,0,0
"2015-02-27",0.01178,0.0132,0.0116,0.01206,0,0
"2015-02-28",0.01101,0.01348,0.011,0.01178,0.1309,0.003272
"2015-03-01",0.006611,0.01208,0.006611,0.01101,0,0
"2015-03-02",0.008505,0.01205,0.006611,0.006611,56018.06,503.22
"2015-03-03",0.012,0.012,0.008426,0.008505,367.48,3.5
"2015-03-04",0.012,0.012,0.009331,0.012,4579.24,51.95
"2015-03-05",0.0104,0.012,0.009231,0.012,5.18,0.057
"2015-03-06",0.0103,0.012,0.0103,0.0104,0,0
"2015-03-07",0.009777,0.01103,0.009763,0.0103,0,0
"2015-03-08",0.009806,0.01098,0.009804,0.009819,0,0
"2015-03-09",0.009536,0.01097,0.008827,0.009806,0,0
"2015-03-10",0.0077,0.01093,0.0077,0.009536,180.18,2
"2015-03-11",0.01082,0.01088,0.0077,0.0077,0,0
"2015-03-12",0.01071,0.01082,0.008203,0.01082,0.1818,0.002
"2015-03-13",0.01112,0.01197,0.01015,0.01071,11179.82,122.98
"2015-03-14",0.0106,0.01167,0.01016,0.01112,0,0
"2015-03-15",0.01054,0.01118,0.01016,0.0106,0,0
"2015-03-16",0.01053,0.01118,0.01053,0.01054,1.09,0.003867
"2015-03-17",0.01024,0.01496,0.01016,0.01053,0,0
"2015-03-18",0.01093,0.01098,0.0079,0.01024,0,0
"2015-03-19",0.007515,0.01093,0.0075,0.01093,0,0
"2015-03-20",0.01011,0.01019,0.0075,0.007515,0,0
"2015-03-21",0.01004,0.0102,0.0094,0.01011,0,0
"2015-03-22",0.009728,0.0102,0.009728,0.01004,0,0
"2015-03-23",0.009942,0.009949,0.009001,0.009728,0,0
"2015-03-24",0.0092,0.009942,0.008002,0.009942,0,0
"2015-03-25",0.0085,0.009296,0.0085,0.0092,0,0
"2015-03-26",0.00875,0.008799,0.0085,0.0085,0,0
"2015-03-27",0.00895,0.00895,0.00865,0.00875,0,0
"2015-03-28",0.00835,0.00895,0.0083,0.00895,0.1768,0.002033
"2015-03-29",0.008199,0.008497,0.008102,0.008102,0,0
"2015-03-30",0.007738,0.0085,0.0075,0.008199,0.1306,0.0004657
"2015-03-31",0.0079,0.007984,0.007509,0.007738,0.03453,0.000397
"2015-04-01",0.00785,0.008499,0.007609,0.0079,0,0
"2015-04-02",0.008925,0.009278,0.00785,0.00785,0,0
"2015-04-03",0.009368,0.009938,0.00846,0.008925,0.3146,0.003618
"2015-04-04",0.008839,0.00946,0.0087,0.009368,0,0
"2015-04-05",0.008783,0.009359,0.008453,0.008839,0,0
"2015-04-06",0.0091,0.009359,0.008716,0.008783,0,0
"2015-04-07",0.00918,0.009371,0.008786,0.0091,4.75,0.05457
"2015-04-08",0.009195,0.0098,0.007935,0.00918,26.04,0.2619
"2015-04-09",0.00918,0.009199,0.008923,0.009195,0,0
"2015-04-10",0.008,0.00918,0.008,0.00918,0,0
"2015-04-11",0.008,0.009137,0.008,0.008,0,0
"2015-04-12",0.008271,0.0084,0.008,0.008,0,0
"2015-04-13",0.008271,0.008271,0.008271,0.008271,0,0
"2015-04-14",0.008271,0.008271,0.008271,0.008271,0,0
"2015-04-15",0.008271,0.008271,0.008271,0.008271,0,0
"2015-04-16",0.008271,0.008271,0.008271,0.008271,0,0
"2015-04-17",0.008271,0.008271,0.008271,0.008271,0,0
"2015-04-18",0.008271,0.008271,0.008271,0.008271,0,0
"2015-04-19",0.003565,0.0115,0.003565,0.0115,282.07,1.08
"2015-04-20",0.003565,0.003565,0.003565,0.003565,0,0
"2015-04-21",0.004,0.0114,0.003565,0.004,3003.19,10.71
"2015-04-22",0.008274,0.008274,0.0082,0.0082,0,0
"2015-04-23",0.00802,0.008496,0.008,0.008274,0.1737,0.001337
